rank,country,life_exp,wellbeing,happy_years,footprint,inequality,hpi,gdp,population
18,Netherlands,81.2,7.5,57.0,5.3,4,35.3,49475,16754962
38,New Zealand,81.4,7.2,52.7,5.6,8,31.3,39505,4408100
7,Nicaragua,74.3,5.4,29.2,1.4,25,38.7,1780,5877034
122,Niger,60.0,3.8,13.1,1.6,40,16.8,394,17635782
95,Nigeria,52.1,5.5,15.5,1.2,44,22.2,2740,168240403
12,Norway,81.3,7.7,57.1,5.0,7,36.8,101564,5018573
106,Oman,76.3,6.9,44.5,7.5,13,21.1,21534,3545192
36,Pakistan,65.7,5.1,19.5,0.8,40,31.5,1266,177392252
22,Palestine,72.6,4.6,24.5,1.2,24,34.5,2783,4046901
6,Panama,77.2,6.9,42.1,2.8,19,39.5,10139,3743761
91,Paraguay,72.6,5.8,31.8,4.2,22,23.3,3858,6379162
21,Peru,74.1,5.8,32.9,2.3,21,34.6,6389,30158768
20,Philippines,67.9,5.0,24.1,1.1,26,35.0,2605,96017322
62,Poland,76.9,5.9,39.2,4.4,11,27.5,13142,38063164
79,Portugal,80.3,5.0,32.3,3.9,16,24.8,20577,10514844
115,Congo,61.0,3.9,13.6,1.3,40,18.8,3191,4286188
55,Romania,74.3,5.2,30.1,2.7,19,28.8,8577,20058035
116,Russia,69.5,5.6,31.7,5.7,16,18.7,14079,143201676
111,Rwanda,63.1,3.3,12.4,0.9,37,19.6,667,10817350
101,Senegal,65.4,3.7,15.5,1.2,33,21.9,1019,13780108
52,Serbia and Kosovo,74.5,5.2,30.3,2.7,19,29.0,5659,7199077
133,Sierra Leone,49.8,4.5,10.8,1.2,50,15.3,619,6043157
59,Slovakia,75.9,5.9,37.9,4.1,13,28.2,17207,5407579
82,Slovenia,80.0,6.1,42.6,5.8,10,24.6,22478,2057159
128,South Africa,56.3,5.1,18.5,3.3,33,15.9,7592,52341695
80,South Korea,81.3,6.0,42.2,5.7,11,24.8,24454,50004441
15,Spain,82.2,6.3,45.3,3.7,10,36.0,28648,46773055
28,Sri Lanka,74.6,4.2,24.9,1.3,17,33.8,3351,20424000
75,Suriname,70.8,6.3,35.2,4.3,19,25.4,9422,528535
132,Swaziland,48.9,4.9,13.6,2.0,41,15.5,3989,1231694
61,Sweden,81.8,7.6,57.4,7.3,6,28.0,57134,9519374
24,Switzerland,82.6,7.8,59.3,5.8,6,34.3,83209,7996861
113,Syria,70.4,3.2,14.7,1.5,30,19.1,2080,21427155
25,Tajikistan,69.0,4.5,22.2,0.9,26,34.2,962,7930929
97,Tanzania,63.5,4.0,16.2,1.3,33,22.1,828,48645709
9,Thailand,74.1,6.3,38.6,2.7,15,37.3,5918,67164130
138,Togo,58.6,2.9,9.0,1.1,43,13.2,580,6745581
130,Trinidad and Tobago,70.1,6.4,34.4,7.9,21,15.7,18322,1341579
71,Tunisia,74.6,4.5,25.2,2.3,22,26.2,4188,10777500
68,Turkey,74.7,5.3,31.2,3.3,19,26.4,10646,74099255
134,Turkmenistan,65.3,5.5,24.0,5.5,31,14.6,6798,5172941
112,Uganda,57.1,4.3,13.8,1.2,41,19.4,656,35400620
70,Ukraine,70.3,5.0,28.3,2.8,17,26.4,3855,45593300
34,United Kingdom,80.4,6.9,49.1,4.9,9,31.9,41295,63700300
108,United States of America,78.8,7.0,46.8,8.2,13,20.7,51457,314112078
14,Uruguay,76.9,6.4,39.4,2.9,18,36.1,15128,3396753
51,Uzbekistan,68.2,6.0,27.9,2.3,30,29.1,1719,29774500
4,Vanuatu,71.3,6.5,34.9,1.9,22,40.6,3158,247498
29,Venezuela,73.9,7.1,41.5,3.6,19,33.6,12772,29854238
5,Vietnam,75.5,5.5,32.8,1.7,19,40.3,1755,88809200
94,Yemen,63.3,4.1,15.2,1.0,39,22.8,1289,24882792
77,Zambia,58.4,5.0,16.7,1.0,41,25.2,1687,14786581
99,Zimbabwe,53.7,5.0,16.4,1.4,37,22.1,851,14565482
