land,aantal
Duitsland,31000
Belgie,21000
Verenigd Koninkrijk,39000
Frankrijk,13000
Italie,9000
Spanje,9000
Scandinavie,12000
Verenigde Staten,15000
Azie,17000
Overig,29000
